image,label
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12842_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10877_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_1239_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12352_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10738_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10302_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11833_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11214_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_1121_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12766_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_14381_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13279_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12750_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12152_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_14161_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11927_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_1008_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12976_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10209_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10979_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13705_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_1074_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11843_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13846_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13991_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12602_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13865_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11990_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_1220_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11512_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13420_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10460_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12357_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_14064_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13789_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11122_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10692_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12045_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11405_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11655_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12506_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11899_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11243_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10698_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11867_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_14115_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10144_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11811_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11518_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10427_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12268_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12132_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11856_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_1162_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10174_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13590_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12798_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10469_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_137_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12574_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12679_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11486_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11265_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13481_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11278_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12577_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13918_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11280_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_11896_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_14466_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13987_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_14097_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13878_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10193_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12619_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_1387_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12205_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12678_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10773_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11926_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12701_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10411_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_1058_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10348_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11995_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12958_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13847_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_12803_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12347_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13280_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_10007_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_13592_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11672_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_1068_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10201_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13668_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_14442_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13919_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_14052_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_11948_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_13637_output.jpeg,1
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Fake/fake_10215_output.jpeg,0
/home/michael/Documenti/Milinda_Githubproject/DeepFake and Real/Real/real_12248_output.jpeg,1
